"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
3678,"NCT00457327","Pilot Study for Evaluation of the Need for Protective Ileostomy After Low Anterior Resection Due to Rectal Cancer","Terminated","No Results Available","Rectal Cancer","Procedure: protective ileostomy","Heidelberg University","Both","18 Years and older   (Adult, Senior)","Phase 2","40","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","433/2005","April 4, 2007","July 2006","March 2007","June 4, 2008","June 2008","No Study Results Posted","null","March 2007","Morbidity and mortality until day 30 postoperative|Quality of life|Ranking of factors influencing quality of life","https://ClinicalTrials.gov/show/NCT00457327"
3679,"NCT02113202","Molecular Fluorescence Endoscopy in Patients With Familial Adenomatous Polyposis, Using Bevacizumab-IRDye800CW","Completed","No Results Available","Adenomatous Polyposis Coli","Drug: Bevacizumab-IRDye800CW|Device: Near infrared fluorescence endoscopy platform","University Medical Center Groningen","Both","18 Years to 70 Years   (Adult, Senior)","Phase 1","17","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Diagnostic","NL45148.042.13|2013-002490-22","April 2, 2014","March 2014","October 2015","January 8, 2016","January 2016","No Study Results Posted","FLUOFAP","October 2015","Number of fluorescent adenomatous polyps during surveillance endoscopy using the near-infrared fluorescence endoscopy platform in patients with Familial Adenomatous Polyposis (FAP), after administration of the fluorescent tracer bevacizumab-IRDye800CW.|Meassure the mean fluorescent intensity of the polyps during fluorescence endoscopy, resect the polyps and score VEGF intensity after immunohistochemistry for VEGF.|Number of participants with Serious Adverse Events as a measure of safety and Tolerability.|Measure the mean fluorescent intensity of adenomas and compare this between the three different dosing groups to determine the best tracer dose for the fluorescence endoscopy procedure.","https://ClinicalTrials.gov/show/NCT02113202"
3680,"NCT02399631","Enhanced Recovery Program After Laparoscopic Colon Cancer Surgery","Recruiting","No Results Available","Colon Cancer","Other: Enhanced recovery program","Kyungpook National University","Both","20 Years to 80 Years   (Adult, Senior)","","248","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","KNUHCRC005","March 9, 2015","January 2012","December 2017","March 21, 2015","March 2015","No Study Results Posted","null","December 2015","Length of hospital stay|Actual hospital stay|Readmission rate|30-day morbidity|30-day mortality|Quality of life|Nutritional status","https://ClinicalTrials.gov/show/NCT02399631"
3681,"NCT02277158","Phase I Study of CCRT as Adjuvant Treatment for Stage II/III Operable Rectal Cancer.","Recruiting","No Results Available","Rectal Cancer","Drug: Chemoradiotherapy","Daping Hospital and the Research Institute of Surgery of the Third Military Medical University","Both","18 Years to 75 Years   (Adult, Senior)","Phase 1","18","Other","Interventional","Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","DP03182014","October 22, 2014","November 2014","December 2015","November 30, 2014","November 2014","No Study Results Posted","null","June 2015","Maximum Tolerated Dose (MTD)|Dose Limiting Toxicities (DLTs)|Quality of Life","https://ClinicalTrials.gov/show/NCT02277158"
3682,"NCT00249301","A Study of MLN8054 in Patients With Advanced Solid Tumors","Terminated","No Results Available","Breast Neoplasm|Colon Neoplasm|Pancreatic Neoplasm|Bladder Neoplasm","Drug: MLN8054","Millennium Pharmaceuticals, Inc.","Both","18 Years and older   (Adult, Senior)","Phase 1","63","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","C10001","November 4, 2005","October 2005","null","March 28, 2008","March 2008","No Study Results Posted","null","January 2008","The safety of MLN8054 will be based on the continuous monitoring and observation of patients and the collection and evaluation of adverse events and serious adverse events and the assessment of their potential relationship to the study medication.","https://ClinicalTrials.gov/show/NCT00249301"
3683,"NCT01882660","Pre-operative Decitabine in Colon Cancer: a Proof of Principle Study","Recruiting","No Results Available","Colon Cancer","Drug: Decitabine","Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)","Both","18 Years and older   (Adult, Senior)","","88","Other","Interventional","Endpoint Classification: Pharmacodynamics Study|Intervention Model: Single Group Assignment|Masking: Open Label","NL44048.018.13","May 24, 2013","July 2013","July 2017","July 26, 2016","July 2016","No Study Results Posted","DECO","July 2017","Wnt target gene expression (APCDD1, AXIN2, DKK1, LGR5 and ASCL2)|Wnt target methylation.|CIMP gene methylation|Beta-catenin localisation|Proliferation (Ki-67)|Apoptose (TNEL en M30 assay)|Tumor differentiation","https://ClinicalTrials.gov/show/NCT01882660"
3684,"NCT02861430","Ex-vivo Sentinel Lymph Node in Stage I-II Colon Cancer: Kappa Analysis With Immunochemistry and Molecular Biology","Recruiting","No Results Available","Colon Cancer|Lymph Node|Sentinel Node","Procedure: Immunochemistry and molecular biology on sentinel lymph node specimen","Centre Hospitalier Universitaire de Besancon","Both","18 Years and older   (Adult, Senior)","","388","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Besancon Unmask","August 2, 2016","April 2014","March 2020","August 5, 2016","August 2016","No Study Results Posted","UNMASK","April 2017","Concordance between immunochemistry and molecular biology|Disease-free survival","https://ClinicalTrials.gov/show/NCT02861430"
3685,"NCT01941641","Colon Neoadjuvant FOLFOXIRI Study","Recruiting","No Results Available","Rectal Cancer","Drug: neoadjuvant FOLFOXIRI|Drug: Capecitabine","Chinese University of Hong Kong","Both","18 Years and older   (Adult, Senior)","Phase 2","40","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","COL021","September 3, 2013","October 2013","October 2018","July 7, 2016","July 2016","No Study Results Posted","null","December 2016","Objective tumour response rate|Tumour regression grade|pathologic complete response|Rate of circumferential resection margin (CRM) clearance|Rate of tumour downstaging|Number of Participants with Adverse Events|Overall survival|disease-free survival, relapse-free survival|Time to local (and distant) recurrence|Number of patients with 30-day post-operative mortality|Compliance to study treatment|Number of response to neoadjuvant therapy","https://ClinicalTrials.gov/show/NCT01941641"
3686,"NCT00967148","Thromboprophylaxis for Patients Undergoing Surgical Resection for Colon Cancer","Completed","No Results Available","Deep Vein Thrombosis|Pulmonary Embolism|Cancer","Drug: Tinzaparin","Ottawa Hospital Research Institute|LEO Pharma","Both","18 Years and older   (Adult, Senior)","","18","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Prevention","2009121-01H","July 8, 2009","June 2009","September 2010","October 21, 2014","October 2014","No Study Results Posted","PERI-OP","September 2010","Recruitment rate|Refusal rate|Rate of non-compliance and lost to follow-up|Expression of sialylated fucosylated glycans (including CA19-9, sialyl Lewis X and CD24) in primary tumor specimens by immunohistochemistry (IHC).|Expression of TF. VEGF and microvessel density in primary tumor specimens by IHC.|Serum soluble TF and TFPI levels pre and postoperatively (postoperative day 0, 1, 4, 7±1, and 28±4) measured by enzyme linked immunosorbent assay (ELISA).|Platelet count and serum soluble P-selectin levels pre and postoperatively (postoperative day 0, 1, 4, 7±1, and 28±4) measured by hemocytometer and ELISA.|Serum VEGF levels pre and postoperatively (postoperative day 0, 1, 4, 7±1, and 28±4) measured by ELISA|Quantification and characterization of VPC pre and postoperatively (postoperative day 0, 1, 4, 7±1, and 28±4) measured by VPC cell culture assay and flow cytometry.","https://ClinicalTrials.gov/show/NCT00967148"
3687,"NCT01257035","Predictive Value of 18F-FAZA in Rectum Cancer","Terminated","No Results Available","Locally Advanced Rectum Cancer","Other: 18F-FAZA-PET/CT","Vejle Hospital|Aarhus University Hospital","Both","18 Years and older   (Adult, Senior)","","21","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","S-20100054","December 8, 2010","November 2010","August 2012","June 14, 2013","June 2013","No Study Results Posted","FAZA","February 2012","Response to chemoradiotherapy measured by TRG|Recurrence free survival|Survival","https://ClinicalTrials.gov/show/NCT01257035"
3688,"NCT02753465","A Prospective Clinical Study for Laparoscopic D3 Dissection With Preservation of Left Colic Artery in Rectal Cancer","Recruiting","No Results Available","Rectal Neoplasms","Procedure: left colic artery|Procedure: High ligation","Fudan University","Both","18 Years to 80 Years   (Adult, Senior)","","200","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","FUDANLCA","April 3, 2016","April 2016","December 2019","May 10, 2016","May 2016","No Study Results Posted","null","December 2019","anastomotic leak rate|Number of lymph node dissection|Overall survival rate|disease-free survival rate|30-day mortality rate","https://ClinicalTrials.gov/show/NCT02753465"
3689,"NCT02792842","Exploratory Study of ART-123 for the Prevention of Cancer Treatment Related Symptoms in Patients With Postoperative Stage II / III Colon Cancer","Recruiting","No Results Available","Postoperative Stage II/III Colon Cancer","Drug: ART-123 (High Frequency)|Drug: ART-123 (Low Frequency)|Drug: Placebo","Asahi Kasei Pharma Corporation","Both","20 Years to 79 Years   (Adult, Senior)","Phase 2","75","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Prevention","ART-123-201","May 28, 2016","July 2016","February 2018","July 12, 2016","July 2016","No Study Results Posted","null","February 2018","NCI-CTCAE|FACT-G: Functional Assessment of Cancer Therapy - General|Discontinuation/ suspension/dose reduction of chemotherapeutic agents","https://ClinicalTrials.gov/show/NCT02792842"
3690,"NCT01972737","Phase I Study of Ad5-hGCC (Human Guanylyl Cyclase C)-PADRE in Stage I/II Colon Cancer","Active, not recruiting","No Results Available","Colon Cancer","Biological: Ad5-hGCC-PADRE vaccine","Thomas Jefferson University","Both","18 Years and older   (Adult, Senior)","Phase 1","10","Other","Interventional","Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Prevention","13S.462|SAP #4100051723","October 24, 2013","October 2013","December 2018","January 8, 2016","January 2016","No Study Results Posted","null","June 2014","Adverse events|Antibody responses|T cell responses|Persistent immunological responses","https://ClinicalTrials.gov/show/NCT01972737"
3691,"NCT01872104","Safety and Efficiency of Photodynamic Therapy for Rectal Cancer","Suspended","No Results Available","Advanced Rectal Cancer","Procedure: Photodynamic therapy","li xiong|Central South University","Both","25 Years to 75 Years   (Adult, Senior)","Phase 2|Phase 3","100","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","PDT-R-01","June 5, 2013","August 2013","August 2016","June 5, 2013","June 2013","No Study Results Posted","PDT-R-01","August 2015","Survival rate|Progression-free survival","https://ClinicalTrials.gov/show/NCT01872104"
3692,"NCT01196000","Laparoscopic Surgery or Robotic-Assisted Laparoscopic Surgery in Treating Patients With Rectal Cancer That Can Be Removed By Surgery","Withdrawn","No Results Available","Recurrent Rectal Cancer|Stage I Rectal Cancer|Stage II Rectal Cancer|Stage III Rectal Cancer","Procedure: conventional laparoscopic surgery|Procedure: robotic-assisted laparoscopic surgery|Procedure: quality-of-life assessment|Other: questionnaire administration","City of Hope Medical Center","Both","18 Years and older   (Adult, Senior)","","0","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","07158|NCI-2010-01427","September 3, 2010","December 2011","null","April 16, 2012","April 2012","No Study Results Posted","null","July 2013","Rate of conversion to open surgery as an indicator of surgical technical difficulty|Circumferential resection margin positivity rate|Local recurrence rate|Intra-operative and post-operative complications|Operative mortality|Self reported bladder and sexual function|Health related quality of life|Disease free and overall survival|Intra-operative laparoscopic skills (randomly selected cases only) as assessed by the global assessment tool for evaluation of intra-operative laparoscopic skills (GOALS)|Quality of the plane of surgery as assessed by central review of photographs|Health economics","https://ClinicalTrials.gov/show/NCT01196000"
3693,"NCT01914068","The Effects of a 9 Week Exercise Programme on Fitness and Quality of Life in Rectal Cancer Patients After Chemoradiotherapy and Before Surgery","Recruiting","No Results Available","Rectal Cancer","Other: Supervised exercise in hospital","University Hospital Southampton NHS Foundation Trust.|AintreeNHSTrust","Both","18 Years to 85 Years   (Adult, Senior)","","46","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Single Blind (Investigator)|Primary Purpose: Health Services Research","PB-PG-0711-25093","June 7, 2013","August 2013","December 2015","August 27, 2013","August 2013","No Study Results Posted","SRETP","February 2015","Change in physical fitness measured by CPET (ml/kg/min)|Quality of life|Physical activity","https://ClinicalTrials.gov/show/NCT01914068"
3694,"NCT01186081","Comparison of Preoperative and Postoperative Radiotherapy and Capecitabine in Locally Advanced Rectal Cancer","Completed","No Results Available","Rectal Cancer","Radiation: Preoperative chemoradiotherapy|Radiation: Postoperative chemoradiotherapy","Asan Medical Center","Both","19 Years to 75 Years   (Adult, Senior)","Phase 3","240","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","AMC Rectal Pre Vs Post 2004","August 18, 2010","March 2004","August 2009","August 20, 2010","August 2010","No Study Results Posted","null","April 2009","Disease-free survival|Overall survival|Local relapse-free survival|Sphincter preservation rate|Treatment related toxicities","https://ClinicalTrials.gov/show/NCT01186081"
3695,"NCT02280070","RP II Study of SOX vs mFOLFOX6 in Patients With Resectable Rectal Cancer (KSCC1301).","Recruiting","No Results Available","Rectal Cancer","Other: Laboratory test|Other: Medical history and physical examination|Other: BW and height|Other: Performance status|Other: Creatinine clearance|Other: Biomarker|Radiation: Contrasting CT|Other: Adverse event|Other: HBs antigen and HCV antibody|Other: Endoscopy|Other: HBs antibody and HBc antibody|Drug: S-1|Drug: L-OHP (130mg/m2)|Drug: L-OHP (85 mg/m2)|Drug: l-LV|Drug: 5-FU","Clinical Research Support Center Kyush","Both","20 Years and older   (Adult, Senior)","Phase 2","110","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","KSCC1301","October 16, 2014","September 2013","August 2020","October 29, 2014","October 2014","No Study Results Posted","null","August 2018","3-years Disease Free Survival rate|Pathological Effect|R0 resection rate|Completion rate of each modality (neoadjuvant chemotherapy, operation and adjuvant chemotherapy)|Overall survival (OS)|Disease Free survival (DFS)|OS in patients with R0 resection|DFS in patients with R0 resection|Transition rate to Operation|local recurrence rate (per operated population)|Safety|Pattern of first recurrence","https://ClinicalTrials.gov/show/NCT02280070"
3696,"NCT00952926","Watchful Waiting. An Observational Study of Patients With Rectal Cancer After Concomitant Radiation and Chemotherapy","Active, not recruiting","No Results Available","Rectal Cancer","","Vejle Hospital","Both","18 Years and older   (Adult, Senior)","","100","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","S-20090063","August 3, 2009","September 2009","December 2018","May 24, 2016","May 2016","No Study Results Posted","null","January 2014","Frequency of local recurrence|Frequency of cumulative local recurrence|Frequency of distant metastases verified by planned PET/CT scans|Overall survival","https://ClinicalTrials.gov/show/NCT00952926"
3697,"NCT02408861","Nivolumab and Ipilimumab in Treating Patients With Advanced HIV Associated Solid Tumors","Recruiting","No Results Available","Anal Carcinoma|HIV Infection|Kaposi Sarcoma|Lung Carcinoma|Solid Neoplasm","Biological: Ipilimumab|Other: Laboratory Biomarker Analysis|Biological: Nivolumab","National Cancer Institute (NCI)","Both","19 Years and older   (Adult, Senior)","Phase 1","42","NIH","Interventional","Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","NCI-2015-00461|PAMC-095_R03PAPP01|AMC-095|U01CA121947","April 3, 2015","August 2015","null","August 31, 2016","August 2016","No Study Results Posted","null","December 2020","Maximum tolerated dose of nivolumab defined as the starting dose level at which 0/6 or 1/6 subjects experience dose limiting toxicity (DLT) with the next higher dose having at least 2/3 or 2/6 subjects encountering DLT|Change in HIV viral load|Change in immune status|Immune function|Objective response rate","https://ClinicalTrials.gov/show/NCT02408861"
3698,"NCT00964457","Treatment of Patients With Advanced Rectum Cancer With Capecitabine and Oxaliplatin Before, Under and After Radiation and With Adding Cetuximab to K-RAS Wild-type Patients","Not yet recruiting","No Results Available","Rectum Cancer","Drug: cetuximab","Copenhagen University Hospital at Herlev","Both","18 Years and older   (Adult, Senior)","Phase 2","60","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","GI0905","August 21, 2009","August 2009","July 2017","August 24, 2009","August 2009","No Study Results Posted","null","July 2012","response rate","https://ClinicalTrials.gov/show/NCT00964457"
3699,"NCT02843191","Consolidation Chemotherapy for Locally Advanced Mid or Low Rectal Cancer After Neoadjuvant Concurrent Chemoradiotherapy","Not yet recruiting","No Results Available","Rectal Cancer","Drug: Chemotherapy","Kyung Hee University Hospital at Gangdong|Korean Society of ColoProctology","Both","20 Years to 75 Years   (Adult, Senior)","Phase 3","316","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","KSCP2016","July 19, 2016","October 2016","September 2021","September 13, 2016","September 2016","No Study Results Posted","null","September 2021","Disease-free survival|Pathologic complete response|Radiotherapy-related complications|R0 resection|Postoperative complications|Peripheral neuropathy","https://ClinicalTrials.gov/show/NCT02843191"
3700,"NCT00254436","A Double-Blind, Randomized, Placebo-Controlled Study of the Efficacy and Safety of Weekly Procrit Given to Gastric or Rectal Patients","Terminated","No Results Available","Gastrointestinal Cancer|Rectal Cancer","Drug: Procrit (epoetin alfa)","M.D. Anderson Cancer Center|Ortho Pharmaceuticals","Both","18 Years and older   (Adult, Senior)","Phase 3","50","Other|Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Factorial Assignment|Masking: Double Blind (Subject, Caregiver, Investigator)|Primary Purpose: Treatment","ID00-264","November 14, 2005","December 2002","June 2004","July 27, 2012","July 2012","No Study Results Posted","null","June 2004","Number of Patients with Reduction in Red Blood Cell Transfusions|Patient Iron Levels","https://ClinicalTrials.gov/show/NCT00254436"
3701,"NCT02165800","Multicenter Study on Laparoscopic Versus Open PANP-TME for Male Mid-low Rectal Cancer Patients","Recruiting","No Results Available","Rectum Neoplasms","Procedure: L-PANP-TME|Procedure: O-PANP-TME","Third Affiliated Hospital, Sun Yat-Sen University|First Affiliated Hospital, Sun Yat-Sen University|Sixth Affiliated Hospital, Sun Yat-sen University|Nanfang Hospital of Southern Medical University|Southern Medical University, China","Male","20 Years to 60 Years   (Adult)","","667","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","CUSTOMER-001","June 10, 2014","January 2014","December 2023","November 7, 2015","November 2015","No Study Results Posted","null","December 2019","3-year disease free survival rate|Urinary function|Sexual function|5-year disease free survival rate|Morbidity|3-year overall survival rate|Mortality|5-year overall survival rate","https://ClinicalTrials.gov/show/NCT02165800"
3702,"NCT02550743","BrUOG 302:BYL719, Capecitabine and Radiation for Rectal Cancer: A Brown University Oncology Research Group Study","Recruiting","No Results Available","Rectal Cancer","Drug: BYL719|Drug: Capecitabine|Radiation: Radiation","howard safran|Brown University|Lifespan|Novartis Pharmaceuticals Corporation (Financial supporter)","Both","18 Years and older   (Adult, Senior)","Phase 1","24","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","BrUOG 302","September 11, 2015","June 2016","June 2018","June 3, 2016","June 2016","No Study Results Posted","null","December 2017","Maximum tolerated dose of BYL719|Pathologic complete response for patients with rectal cancer","https://ClinicalTrials.gov/show/NCT02550743"
3703,"NCT00001805","A Phase II Clinical Trial of Suppression of Human Antimouse Antibody and Human Antitoxin Response to Immunotoxin LMB-1 by Rituximab","Completed","No Results Available","Breast Neoplasms|Colonic Neoplasms|Lung Neoplasms|Pancreatic Neoplasms|Stomach Neoplasms","Drug: Rituximab","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","Both","Child, Adult, Senior","Phase 2","20","NIH","Interventional","Endpoint Classification: Safety/Efficacy Study|Primary Purpose: Treatment","990071|99-C-0071","November 3, 1999","March 1999","June 2000","March 3, 2008","March 2000","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00001805"
3704,"NCT02704520","Magnetic Resonance Tumour Regression Grade as Biomarker for Stratified Management of Rectal Cancer Patients","Recruiting","No Results Available","Rectal Cancer","Drug: Capecitabine|Drug: Oxaliplatin|Drug: 5-fluorouracil|Drug: Folinic Acid","Royal Marsden NHS Foundation Trust","Both","18 Years and older   (Adult, Senior)","Phase 2|Phase 3","90","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","CCR4326","February 5, 2016","March 2016","December 2021","August 17, 2016","August 2016","No Study Results Posted","TRIGGER","December 2016","Patient recruitment rate|pathology circumferential resection margin (pCRM) involvement rate|Drug toxicity|Surgical morbidity|Quality of surgery|Strength of agreement of reported mrTRG between site and central radiologists","https://ClinicalTrials.gov/show/NCT02704520"
3705,"NCT02682589","Open Versus Laparoscopic Complete Mesocolic Excision for Locally Advanced Colon Cancer","Recruiting","No Results Available","Colon Cancer","Procedure: Open surgery|Procedure: Laparoscopic surgery","The First Affiliated Hospital with Nanjing Medical University|West China Hospital|Changhai Hospital|Chinese PLA General Hospital|Peking Union Medical College Hospital|Ruijin Hospital|RenJi Hospital|Shanghai Changzheng Hospital|Wuhan Union Hospital, China|Fujian Medical University|First Affiliated Hospital of Chongqing Medical University","Both","18 Years and older   (Adult, Senior)","Phase 3","1080","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","CRSYM201602","February 4, 2016","April 2016","April 2023","July 3, 2016","July 2016","No Study Results Posted","OLCMECC","April 2023","disease-free survival|overall survival|recurrence-free survival|local recurrence rate|length of postoperative hospital stay|early complication rate|operative time|completeness of the mesocolon of the specimen|number of lymph nodes retrieved|postoperative quality of life as assessed by EORTC QLQ-C30 questionnaire","https://ClinicalTrials.gov/show/NCT02682589"
3706,"NCT02164136","Laparoscopic Versus Open PANP-TME for Male Mid-low Rectal Cancer Patients","Recruiting","No Results Available","Rectum Neoplasms","Procedure: L-PANP-TME|Procedure: O-PANP-TME","Third Affiliated Hospital, Sun Yat-Sen University","Male","20 Years to 60 Years   (Adult)","","172","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","CUSTOMER-01","June 11, 2014","June 2014","June 2023","November 7, 2015","November 2015","No Study Results Posted","null","June 2019","3-year disease free survival rate|Urinary function|Sexual function|5-year disease free survival rate|Morbidity|3-year overall survival rate|3-year recurrence pattern|Mortality|5-year overall survival rate|5-year recurrence pattern","https://ClinicalTrials.gov/show/NCT02164136"
3707,"NCT02151019","Pre-operative 3-DCRT vs IMRT for Locally Advanced Rectal Cancer","Recruiting","No Results Available","Locally Advanced Rectal Cancer","Radiation: IMRT","Cancer Trials Ireland","Both","18 Years and older   (Adult, Senior)","Phase 1|Phase 2","268","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","ICORG 12-38","May 27, 2014","August 2014","July 2030","June 27, 2016","June 2016","No Study Results Posted","TRI-LARC","August 2020","Reduction in incidence of grade 2 or higher GI toxicity|Compare incidence of acute grade > 2 GU toxicity|Evaluate incidence of late GI and GU toxicity|Rate of loco-regional control|Assess quality of life|Rate of disease free survival|Estimate overall survival","https://ClinicalTrials.gov/show/NCT02151019"
3708,"NCT01804790","Phase III Study Comparing Preoperative Chemoradiotherapy Alone Versus Neoadjuvant Chemotherapy With Folfirinox Regimen Followed by Preoperative Chemoradiotherapy for Patients With Resectable Locally Advanced Rectal Cancer","Recruiting","No Results Available","Cancer of the Rectum","Drug: mFolfirinox|Radiation: Radiotherapy 50Gy|Drug: Capecitabine|Procedure: TME surgery|Drug: mFolfox6 or capecitabine","UNICANCER","Both","18 Years to 75 Years   (Adult, Senior)","Phase 3","460","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","PRODIGE 23 - UCGI 23","March 1, 2013","January 2012","January 2022","June 16, 2016","June 2016","No Study Results Posted","Néofirinox","June 2017","disease-free survival|Overall survival","https://ClinicalTrials.gov/show/NCT01804790"
3709,"NCT00597311","Preoperative Chemoradiation Versus Short Term Radiation Alone With Delayed Surgery for Stage II and III Resectable Rectal Cancer","Recruiting","No Results Available","Primary Rectal Cancer","Radiation: radiotherapy","Kaunas University of Medicine","Both","18 Years to 80 Years   (Adult, Senior)","Phase 3","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","BE-2-48|137/2006","January 9, 2008","January 2007","January 2012","January 9, 2008","January 2008","No Study Results Posted","null","January 2012","5 years overall and disease free survival|recurrence rate|pathological ""complete response"" and downstaging rates|Impact on sphincter sparing operation rates|morbidity and mortality rates|Impact on quality of surgical resection","https://ClinicalTrials.gov/show/NCT00597311"
3710,"NCT01918527","Neoadjuvant Chemotherapy Versus Standard Treatment in Patients With Locally Advanced Colon Cancer","Recruiting","No Results Available","Colon Cancer","Drug: Capecitabine|Drug: Oxaliplatin","Vejle Hospital","Both","18 Years and older   (Adult, Senior)","Phase 3","250","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","NeoCol","August 6, 2013","September 2013","August 2019","August 3, 2016","August 2016","No Study Results Posted","null","August 2018","Two-year disease free survival|Rate of patients fulfilling the criteria for adjuvant chemotherapy","https://ClinicalTrials.gov/show/NCT01918527"
3711,"NCT02546596","The Effect of Electro-Hyperthermia in Preoperative Radiotherapy for Locally Advanced Rectal Cancer","Recruiting","No Results Available","Rectal Cancer|Hyperthermia","Device: Electro-hyperthermia","Yonsei Hyperthermia Study Group","Both","19 Years to 85 Years   (Adult, Senior)","Phase 2","72","Other","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","YURO-H1","September 6, 2015","April 2014","February 2022","July 11, 2016","July 2016","No Study Results Posted","null","March 2017","T stage (0 - 4), N (0 - 3) stage, tumor regression grade (0 - 4)|Survival (months)|Treatment toxicity (grade 0 - 5)","https://ClinicalTrials.gov/show/NCT02546596"
3712,"NCT01436617","Assessing the Value of a Dosage of Anti-cetuximab in the Therapeutic Management of Patients With Colon Cancer or Upper Aero-digestive Tract and Candidates for Treatment With Cetuximab","Completed","No Results Available","Colon Cancer|Head and Neck Cancer|Allergic Reaction","Other: blood sample","Centre Francois Baclesse|University Hospital, Caen","Both","18 Years and older   (Adult, Senior)","Phase 2","303","Other","Observational","Time Perspective: Prospective","IgES","September 14, 2011","January 2010","March 2013","March 7, 2013","March 2013","No Study Results Posted","IgES","March 2013","Validate the utility of an IgE anti-cetuximab test in the treatment strategy","https://ClinicalTrials.gov/show/NCT01436617"
